City ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date/Time
103,bamboo flat,11.7,92.7167,80.69,89,75,8.05,IN,2023-09-22 20:34:49
104,tiksi,71.6872,128.8694,36.81,68,12,10.71,RU,2023-09-22 20:34:41
105,fabens,31.5023,-106.1586,86.74,31,53,2.68,US,2023-09-22 20:41:00
106,lihue,21.9789,-159.3672,79.02,71,75,17.27,US,2023-09-22 20:35:05
107,panacan,9.2463,118.4082,82.31,80,84,8.61,PH,2023-09-22 20:41:00
108,san antonio de pale,-1.4014,5.6325,76.55,83,85,12.64,GQ,2023-09-22 20:38:08
109,kruisfontein,-34.0033,24.7314,57.88,88,100,4.5,ZA,2023-09-22 20:35:02
110,piti village,13.4626,144.6933,86.83,80,40,9.22,GU,2023-09-22 20:41:00
111,afaahiti,-17.75,-149.2833,75.07,91,100,12.41,PF,2023-09-22 20:35:24
112,kushiro,42.975,144.3747,72.55,46,20,6.91,JP,2023-09-22 20:41:01
113,atafu village,-8.5421,-172.5159,83.41,75,37,9.86,TK,2023-09-22 20:34:56
114,quellon,-43.1167,-73.6167,39.45,87,75,6.91,CL,2023-09-22 20:35:29
115,gorontalo,0.5412,123.0595,89.35,47,36,9.04,ID,2023-09-22 20:41:01
116,santa cruz,-17.8,-63.1667,80.06,78,10,8.05,BO,2023-09-22 20:40:37
117,newman,37.3138,-121.0208,67.55,71,16,1.99,US,2023-09-22 20:34:55
118,kurkino,53.4257,38.6582,55.62,51,26,7.63,RU,2023-09-22 20:41:02
119,bridgewater,44.3835,-64.5155,48.88,91,100,6.91,CA,2023-09-22 20:32:31
120,lompoc,34.6391,-120.4579,60.51,81,40,5.01,US,2023-09-22 20:35:19
121,fale old settlement,-9.3852,-171.2468,82.09,78,93,14.05,TK,2023-09-22 20:35:48
122,qaqortoq,60.7167,-46.0333,36.93,94,99,3.6,GL,2023-09-22 20:35:15
123,nova sintra,14.8667,-24.7167,75.72,84,97,13.0,CV,2023-09-22 20:36:11
124,portland,45.5234,-122.6762,64.29,52,0,1.99,US,2023-09-22 20:31:07
125,hermanus,-34.4187,19.2345,52.81,79,100,8.03,ZA,2023-09-22 20:36:06
126,chyorny yar,48.0624,46.1091,62.13,46,0,7.56,RU,2023-09-22 20:41:03
127,christchurch,-43.5333,172.6333,51.24,82,100,6.91,NZ,2023-09-22 20:37:48
128,nema,57.5067,50.5011,60.84,68,87,3.22,RU,2023-09-22 20:36:00
129,tozeur,33.9197,8.1335,84.6,42,100,14.97,TN,2023-09-22 20:41:04
130,bikenibeu village,1.3673,173.1241,87.76,70,40,3.44,KI,2023-09-22 20:41:04
131,hatvan,47.6667,19.6833,68.22,67,81,2.62,HU,2023-09-22 20:41:04
132,ulu tiram,1.6,103.8167,87.49,72,20,2.3,MY,2023-09-22 20:41:05
133,richards bay,-28.783,32.0377,67.12,96,60,4.18,ZA,2023-09-22 20:35:59
134,st. john's,47.5649,-52.7093,40.78,84,0,9.22,CA,2023-09-22 20:36:05
135,lebu,-37.6167,-73.65,47.07,76,11,9.08,CL,2023-09-22 20:31:27
136,invercargill,-46.4,168.35,49.01,86,99,3.0,NZ,2023-09-22 20:34:45
137,acapulco de juarez,16.8634,-99.8901,85.82,74,100,6.91,MX,2023-09-22 20:36:10
138,gokceada,40.2011,25.909,61.88,69,1,1.77,TR,2023-09-22 20:41:06
139,pokaran,26.9167,71.9167,88.21,56,52,10.36,IN,2023-09-22 20:41:06
140,klyuchi,52.2667,79.1667,50.79,61,52,15.35,RU,2023-09-22 20:35:14
141,ust-nera,64.5667,143.2,37.58,62,78,5.41,RU,2023-09-22 20:35:38
142,namibe,-15.1961,12.1522,64.99,91,88,5.46,AO,2023-09-22 20:35:10
143,yeppoon,-23.1333,150.7333,76.78,53,6,21.0,AU,2023-09-22 20:41:07
144,oriximina,-1.7656,-55.8661,75.78,81,56,2.95,BR,2023-09-22 20:41:07
145,kodiak,57.79,-152.4072,47.71,76,100,5.75,US,2023-09-22 20:35:25
146,broken hill,-31.95,141.4333,74.86,20,86,8.28,AU,2023-09-22 20:36:21
147,castillos,-34.1667,-53.8333,51.93,93,62,4.79,UY,2023-09-22 20:33:24
148,kayangel,8.0823,134.7173,83.08,80,100,14.85,PW,2023-09-22 20:34:37
149,shalqar,47.8333,59.6,62.62,43,3,6.06,KZ,2023-09-22 20:37:52
150,winnemucca,40.973,-117.7357,44.65,39,0,0.0,US,2023-09-22 20:41:08
151,sao joao da barra,-21.6403,-41.0511,70.36,88,8,14.47,BR,2023-09-22 20:37:54
152,sangareddi,17.6294,78.0917,77.32,80,100,3.85,IN,2023-09-22 20:41:08
153,molde,62.7375,7.1591,48.06,93,75,4.61,NO,2023-09-22 20:41:08
154,el porvenir,13.7617,-87.3458,79.93,76,45,4.99,HN,2023-09-22 20:41:08
155,okhotsk,59.3833,143.3,50.23,56,11,6.82,RU,2023-09-22 20:41:09
156,bonthe,7.5264,-12.505,76.91,89,100,7.99,SL,2023-09-22 20:41:09
157,arraial do cabo,-22.9661,-42.0278,69.01,93,16,15.28,BR,2023-09-22 20:34:45
158,bitkine,11.9801,18.2138,75.79,66,100,10.8,TD,2023-09-22 20:41:09
159,gali,42.6265,41.7381,67.75,58,93,3.44,GE,2023-09-22 20:41:09
160,kaedi,16.1465,-13.5047,89.4,49,100,7.36,MR,2023-09-22 20:36:17
161,torghay,49.6339,63.4981,63.93,63,89,7.94,KZ,2023-09-22 20:41:10
162,larino,41.8055,14.9193,72.73,80,100,1.54,IT,2023-09-22 20:41:10
