City ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date/Time
96,alcala de henares,40.4821,-3.36,75.06,27,20,19.57,ES,2023-08-27 08:54:22
97,iskateley,67.6803,53.1512,44.85,90,100,9.37,RU,2023-08-27 08:54:23
98,north mackay,-21.1167,149.1833,62.69,82,7,9.8,AU,2023-08-27 08:54:23
99,happy valley-goose bay,53.3168,-60.3315,53.91,94,100,10.36,CA,2023-08-27 08:54:24
100,yellowknife,62.456,-114.3525,55.45,93,100,16.11,CA,2023-08-27 08:52:02
101,antsiranana,-12.2787,49.2917,75.96,64,75,20.71,MG,2023-08-27 08:54:24
102,beberibe,-4.1797,-38.1306,87.08,57,1,12.59,BR,2023-08-27 08:54:24
103,dingzhou,38.5131,114.9956,68.11,79,93,3.11,CN,2023-08-27 08:46:14
104,margaret river,-33.95,115.0667,59.83,84,25,13.27,AU,2023-08-27 08:54:25
105,simanggang,1.2472,111.4528,77.02,94,100,1.14,MY,2023-08-27 08:54:25
106,cadale,2.7603,46.3222,78.46,83,22,17.9,SO,2023-08-27 08:54:25
107,sidareja,-7.4846,108.7923,68.68,96,12,0.92,ID,2023-08-27 08:54:26
108,rio preto da eva,-2.6994,-59.6997,101.21,27,0,4.9,BR,2023-08-27 08:54:26
109,panevezys,55.7333,24.35,75.13,55,78,4.97,LT,2023-08-27 08:54:26
110,qaqortoq,60.7167,-46.0333,46.94,68,5,6.98,GL,2023-08-27 08:54:26
111,rumonge,-3.9736,29.4386,81.09,51,93,2.48,BI,2023-08-27 08:54:26
112,berdigestyakh,62.0989,126.6992,58.64,73,12,2.73,RU,2023-08-27 08:51:20
113,kaele,10.1092,14.4508,83.03,62,100,4.12,CM,2023-08-27 08:54:27
114,papatowai,-46.5619,169.4708,34.93,87,60,9.42,NZ,2023-08-27 08:54:27
115,wainwright,52.839,-110.8572,70.93,47,10,10.2,CA,2023-08-27 08:54:27
116,karratha,-20.7377,116.8463,69.87,66,1,1.99,AU,2023-08-27 08:54:28
117,dudinka,69.4058,86.1778,51.62,71,100,7.14,RU,2023-08-27 08:54:28
118,merizo village,13.2658,144.6691,78.03,98,100,21.12,GU,2023-08-27 08:54:28
119,georgetown,5.4112,100.3354,82.17,86,20,3.44,MY,2023-08-27 08:53:19
120,el bauga,18.262,33.9081,103.8,22,9,10.8,SD,2023-08-27 08:54:28
121,puerto baquerizo moreno,-0.9,-89.6,79.79,74,40,17.27,EC,2023-08-27 08:46:33
122,salalah,17.0151,54.0924,82.49,83,75,6.91,OM,2023-08-27 08:51:36
123,san patricio,28.017,-97.5169,88.02,50,0,4.9,US,2023-08-27 08:54:29
124,bredasdorp,-34.5322,20.0403,52.92,77,0,6.51,ZA,2023-08-27 08:54:30
125,francistown,-21.17,27.5079,63.09,53,0,19.62,BW,2023-08-27 08:54:30
126,saipan,15.1355,145.701,79.5,94,75,6.91,MP,2023-08-27 08:46:45
127,luderitz,-26.6481,15.1594,76.53,30,0,2.84,NA,2023-08-27 08:54:31
128,nizhnesortymskiy,62.4397,71.7603,51.91,73,79,3.67,RU,2023-08-27 08:54:31
129,torata,-17.0769,-70.8433,73.38,11,5,8.79,PE,2023-08-27 08:54:31
130,vilyuchinsk,52.9306,158.4028,53.26,79,100,4.9,RU,2023-08-27 08:46:20
